id,answer
CORP-TAX-019,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: 31969L0335 Kapital Ansammlungs-RL indirekte Steuern Art4; 31969L0335 Kapital Ansammlungs-RL indirekte Steuern; 32011L0096 Mutter/Tochter-RL Art2; KStG 1988 §24 Abs5 Z5; 32011L0096 Mutter/Tochter-RL.
CORP-TAX-020,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: UStG Telekommunikationsdienste 1997; UStG Telekommunikationsdienste 1997 §1; DUK-G 1994 §3; DUK-G 1994 §25; DUK-G 1994 §1.
CORP-TAX-021,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: BWG 1993 §23 Abs6; BWG 1993 §1 Abs1; UmgrStG 1991; UmgrStG 1991 §15; KStG 1988.
CORP-TAX-022,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: UmgrStG 1991 §7 Abs1; UmgrStG 1991 §7 Abs1 Z1; KStG 1988 §7 Abs3; KStG 1988 §7 Abs1; KStG 1988 §7 Abs5.
CORP-TAX-023,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: KStG 1988 §24 Abs1; KStG 1988 §24 Abs2; UmwG 1996 §1; KStG 1988 §1; KStG 1988 §4 Abs1.
CORP-TAX-024,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DurchschnittssatzV Gewinnermittlung 2005/II/258; DurchschnittssatzV Gewinnermittlung 2005/II/258 §1; DurchschnittssatzV Gewinnermittlung 2001/II/054 §1; DurchschnittssatzV Gewinnermittlung 2001/II/054 §8; DurchschnittssatzV Gewinnermittlung 2001/II/054 §2.
CORP-TAX-025,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: EStG 1988 §24; EStG 1988 §24 Abs1; EStG 1988 §41; EStG 1988 §24 Abs2; EStG 1988.
CORP-TAX-026,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: KStG 1988 §8 Abs3 Z1; KStG 1988 §8 Abs4 Z2; KStG 1988 §8 Abs4 Z3; KStG 1988 §8 Abs3; KStG 1988 §8 Abs2.
CORP-TAX-027,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: UmgrStG 1991 §9 Abs8; UmgrStG 1991 §9 Abs6; KStG 1988 §9; KStG 1988 §9 Abs2; KStG 1988 §9 Abs3.
CORP-TAX-028,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: EWR-Abk Art34; InvFG 1993 §1; EWR-Abk Art31; InvFG 1993; InvFG 1993 §1 Abs1.
CORP-TAX-029,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: UmgrStG 1991; UmgrStG 1991 Art4; UmgrStG 1991 §15; UmgrStG 1991 §12; UmgrStG 1991 Art1.
CORP-TAX-030,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: EWR-Abk Art34; 31990L0435 Mutter/Tochter-RL Art2; EWR-Abk Art28; 32011L0096 Mutter/Tochter-RL Art2; 61989CC0355 DHSS / Barr and Montrose Holdings Schlussantrag.
CORP-TAX-031,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: MeldeG 1991; EWR-Abk; PSG 1993; MRG; WFG Tir 1991.
CORP-TAX-032,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: EStG-D 1934 §12; EStG 1988 §4 Abs3a Z3 lita; EStG 1988 §4 Abs2 lita Z3; UmgrStG 1991 §15; EStG 1988 §4 Abs12 Z3.
CORP-TAX-033,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: UmgrStG 1991; UmgrStG 1991 §25; UmgrStG 1991 Art1; UmgrStG 1991 Art2; UmgrStG 1991 §23.
CORP-TAX-034,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: UmwG 1996 §1; UmgrStG 1991; UmgrStG 1991 §1; GewStG §1 Abs1; GewStG §4 Abs1.
CORP-TAX-035,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: 61995CJ0250 Futura Participations VORAB; 61989CC0355 DHSS / Barr and Montrose Holdings Schlussantrag; 61975CJ0008 Foot-Ball Club d'Andlau VORAB; 61993CJ0279 Schumacker VORAB; 62004CJ0374 Test Claimants in Class IV of the ACT Group Litigation VORAB.
CORP-TAX-036,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: UmgrStG 1991; UmgrStG 1991 Art5; UmgrStG 1991 Art4; UmgrStG 1991 Art1; UmgrStG 1991 Art3.
CORP-TAX-037,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: KStG 1988 §10 Z5 idF 1989/660; KStG 1988 §10 Abs3 idF 1994/681; KStG 1988 §10 Abs1 Z3; KStG 1988 §10 Z5; KStG 1988 §10 Abs2 Z2 lita idF 1993/694.
CORP-TAX-038,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: KStG 1988 §11 Abs2; KStG 1988 §11; KStG 1988 §11 Abs1 Z4; UmgrStG 1991 §12 Abs1; UmgrStG 1991 §12 Abs2.
CORP-TAX-039,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: KStG 1988 §12 Abs3; KStG 1988 §12 Abs2; KStG 1988 §12; KStG 1988 §12 Abs1; KStG 1988 §12 Abs1 Z2.
CORP-TAX-040,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: UmgrStG 1991 §23; UmgrStG 1991; UmgrStG 1991 §15; InvFG 1993; UmgrStG 1991 §4.
CORP-TAX-041,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: EStG 1988 §4 Abs7 idF 1996/201; EStG 1972 §16; DurchschnittssatzV Gewinnermittlung 2001/II/054 §1; EStG 1972 §4; EStG 1988 §4 Abs12.
CORP-TAX-042,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: ErwachsenenbildungFG 1973; EStG 1988 Bewertung bestimmter Sachbezüge 1992 1993; EStG 1988 Bewertung bestimmter Sachbezüge 2002 §3; EStG 1988 Bewertung bestimmter Sachbezüge 2002; 31998L0049 Rentenansprüche-RL.
CORP-TAX-043,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: KStG 1988 §7 Abs4 idF 1989/660; KStG 1988 §7 Abs1; KStG 1988 §7 Abs3; KStG 1988 §7 Abs2; KStG 1988 §7 Abs5.
CORP-TAX-044,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DurchschnittssatzV Werbungskosten 2001; DurchschnittssatzV Werbungskosten 2001 §1; DurchschnittssatzV Werbungskosten 2001 §5; DurchschnittssatzV Werbungskosten 2001 §1 Z7; EStG 1988 §25 Abs2.
CORP-TAX-045,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: EStG 1988 §4 Abs12; EStG 1988 §4; EStG 1988 §4 Abs7 idF 1996/201; EStG 1988 §4 Abs12 Z3; EStG 1988 §4 Abs2 lita Z3.
CORP-TAX-046,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: UmgrStG 1991 §9 Abs8; UmgrStG 1991 §9 Abs6; KStG 1988 §9; KStG 1988 §9 Abs1; KStG 1988 §9 Abs8.
CORP-TAX-047,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: UmgrStG 1991 §1; UmgrStG 1991; KStG 1988 §24 Abs2; KStG 1988; UmgrStG 1991 Art1.
CORP-TAX-048,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DurchschnittssatzV Werbungskosten 2001; DurchschnittssatzV Werbungskosten 2001 §1; DurchschnittssatzV Werbungskosten 2001 §5; DurchschnittssatzV Werbungskosten 2001 §1 Z7; DurchschnittssatzV Werbungskosten 2001 §1 Z9.
CORP-TAX-049,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DBAbk USA 1998 Art17; DBAbk Malaysia 1990 Art22 Abs2 litb; DBAbk BRD 1955; EWR-Abk Art34; 31990L0435 Mutter/Tochter-RL Art2.
CORP-TAX-050,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: 61999CJ0339 Energie Steiermark Holding VORAB; KStG 1988 §24 Abs4 Z4; KStG 1988 §24 Abs5 Z5; KStG 1988 §24 Abs3 Z1; KStG 1988 §24 Abs4 Z1.
CORP-TAX-051,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: UmgrStG 1991 §7 Abs1 Z1; UmgrStG 1991 §7 Abs1; KStG 1988 §7 Abs4 idF 1989/660; KStG 1988 §7 Abs3; KStG 1988 §7 Abs1.
CORP-TAX-052,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: AktG 1965 §153; UGB §155; AktG 1965 §104 Abs4; AktG 1965 §98 Abs1; UGB §1.
CORP-TAX-053,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: 32008L0007 Kapital Ansammlungs-RL indirekte Steuern Art5 Abs1 lita; 31969L0335 Kapital Ansammlungs-RL indirekte Steuern Art4; 31969L0335 Kapital Ansammlungs-RL indirekte Steuern; 32008L0007 Kapital Ansammlungs-RL indirekte Steuern Art5 Abs1 litc; 31969L0335 Kapital Ansammlungs-RL indirekte Steuern Art10.
CORP-TAX-054,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: 61993CJ0279 Schumacker VORAB; 61999CJ0339 Energie Steiermark Holding VORAB; 31969L0335 Kapital Ansammlungs-RL indirekte Steuern; 31969L0335 Kapital Ansammlungs-RL indirekte Steuern Art4; 61995CJ0250 Futura Participations VORAB.
CORP-TAX-055,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DBAbk Malaysia 1990 Art22 Abs2 litb; DBAbk BRD 1955 Art16; 61989CC0355 DHSS / Barr and Montrose Holdings Schlussantrag; DBAbk BRD 1955; DBAbk USA 1998 Art17.
CORP-TAX-056,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: InvFG 1993; KStG 1988 §24 Abs2; InvFG 1993 §1; UmgrStG 1991 §25; KStG 1988.
CORP-TAX-057,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: SteuerreformG 2005; EStG 1988 Forschungsfreibeträge 2002; EStG 1988 Forschungsfreibeträge 2002 §1 Abs4; EStG 1988 Forschungsfreibeträge 2002 §1 Abs1; EStG Preußen 1891 §8.
CORP-TAX-058,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: EStG 1988 Forschungsfreibeträge 2002; SteuerreformG 2005; EStG Preußen 1891 §8; EStG 1988 Forschungsfreibeträge 2002 §1 Abs1; EStG 1988 Forschungsfreibeträge 2002 §1 Abs4.
CORP-TAX-059,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: AbgÄG 2004; FinStrG §115; FinStrG §114; FinStrG §157; FinStrG §16.
CORP-TAX-060,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: EuroG 2002 §4; GSpG 1989 §58 Abs3; GSpG 1989 §58 Abs1; GmbHG; UGB §145 Abs1.
TAX-INTL-001,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DBAbk Deutschland 2002 Art4; DBAbk USA 1998 Art4; 61993CJ0279 Schumacker VORAB; DBAbk Deutschland 2002; DBAbk Schweiz 1975.
TAX-INTL-002,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DBAbk Deutschland 2002 Art4; DBAbk Deutschland 2002; DBAbk Italien 1985 Art23 Abs3 lita; DBAbk USA 1998 Art4; DBAbk Deutschland 2002 Art18.
TAX-INTL-003,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DBAbk Schweiz 1975 Art4; DBAbk Schweiz 1975; DBAbk Schweiz 1975 Art15 Abs1; DBAbk Deutschland 2002 Art4; DBAbk Schweiz 1975 Art4 Abs2 lita.
TAX-INTL-004,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DBAbk Schweiz 1975; 62011CJ0395 BLV Wohn- und Gewerbebau VORAB; DBAbk Schweiz 1975 Art17; 61993CJ0279 Schumacker VORAB; EStG 1988 Berufsausbildung eines Kindes außerhalb Wohnort Nov 2001.
TAX-INTL-005,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: 32016L0801 Studenten-RL Art7 Abs1 lite; 32016L0801 Studenten-RL Art7 Art7 Abs1 lite; DBAbk Schweiz 1975 Art4; DBAbk Deutschland 2002 Art4; DBAbk Schweiz 1975.
TAX-INTL-006,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DBAbk Schweiz 1975; DBAbk Deutschland 2002; DBAbk Schweiz 1975 Art4; DBAbk Deutschland 2002 Art4; DBAbk Türkei 2009.
TAX-INTL-007,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: 32016L0801 Studenten-RL Art7 Abs1 lite; 32016L0801 Studenten-RL Art7 Art7 Abs1 lite; 32016L0801 Studenten-RL Art7 Abs1 litc; 32016L0801 Studenten-RL Art7 Art7 Abs3; 32016L0801 Studenten-RL Art7 Abs3.
TAX-INTL-008,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: 32016L0801 Studenten-RL Art7 Art7 Abs1 lite; 32016L0801 Studenten-RL Art7 Abs1 lite; 32016L0801 Studenten-RL Art7 Abs1 litc; 32016L0801 Studenten-RL Art7 Art7 Abs3; 32016L0801 Studenten-RL Art7 Abs3.
TAX-INTL-009,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DBAbk Deutschland 2002 Art4; DBAbk Slowakei 1995 Art3 Abs2; 32016L0801 Studenten-RL Art7 Art7 Abs1 lite; 32016L0801 Studenten-RL Art7 Abs1 lite; DBAbk Schweiz 1975 Art4.
TAX-INTL-010,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: AuslBG §2 Abs2 lite; AuslBG §3 Abs5 lita; AuslBG §28 Abs1 Z1 lita idF 2002/I/160; AuslBG §3 Abs1; AuslBG.
TAX-INTL-011,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: NAG 2005 §64 Abs1 Z1; NAG 2005 §64 Abs1; NAG 2005 §63 Abs1; NAG 2005 §63; NAG 2005 §11 Abs2 Z4 idF 2009/I/122.
TAX-INTL-012,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DBAbk Deutschland 2002 Art4; DBAbk Deutschland 2002 Art18; DBAbk Deutschland 2002; DBAbk Polen 1975 Art23 Abs2; DBAbk Frankreich 1994 Art23 Abs2 lita.
TAX-INTL-013,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DBAbk Schweiz 1975 Art4; DBAbk Schweiz 1975 Art4 Abs2 lita; DBAbk Schweiz 1975 Art15 Abs1; EG-Abk Schweiz 2002; DBAbk Deutschland 2002 Art4.
TAX-INTL-014,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DBAbk Deutschland 2002; DBAbk Deutschland 2002 Art4; DBAbk Belgien 1973; DBAbk Schweiz 1975; DBAbk Italien 1985 Art23 Abs3 lita.
TAX-INTL-015,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: 32016L0801 Studenten-RL Art7 Abs1 lite; 32016L0801 Studenten-RL Art7 Abs1 litc; 32016L0801 Studenten-RL Art7 Abs3; 32016L0801 Studenten-RL Art7 Art7 Abs1 lite; 32016L0801 Studenten-RL Art7 Art7 Abs3.
TAX-INTL-016,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: StudFG 1992 §49 Abs4 idF 1997/I/098; EStG 1988 Berufsausbildung eines Kindes außerhalb Wohnort Nov 2001; StudFG 1992 §49 Abs3 idF 1999/I/023; DBAbk Schweiz 1975; Einkommensermittlung Sportler 2000 §1.
TAX-INTL-017,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: AuslBG §3 Abs5 lita; AuslBG §2 Abs2 lite; AuslBG §3 Abs1 idF 2002/I/126; FrPolG 2005 §53 Abs2 Z6; AuslBG §3 Abs1 idF 2006/I/099.
TAX-INTL-018,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: 62008CJ0578 Chakroun VORAB; SozVersAbk Türkei 2000; DBAbk Deutschland 2002 Art4; DBAbk Rußland 2002 Art15; DBAbk Schweiz 1975 Art15 Abs1.
TAX-INTL-019,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: 32004L0038 Unionsbürger-RL Art7 Abs1 litb; 32016L0801 Studenten-RL Art7 Art7 Abs1 lite; 32016L0801 Studenten-RL Art7 Abs1 lite; 32016L0801 Studenten-RL Art7 Abs1 litc; 32016L0801 Studenten-RL Art7 Art7 Abs3.
TAX-INTL-020,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DBAbk Deutschland 2002 Art4; DBAbk Deutschland 2002; DBAbk Schweiz 1975; DBAbk Deutschland 2002 Art18; DBAbk Türkei 2009.
TAX-INTL-021,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DBAbk Deutschland 2002 Art4; DBAbk Deutschland 2002; DBAbk Schweiz 1975; 61993CJ0279 Schumacker VORAB; DBAbk Deutschland 2002 Art18.
TAX-INTL-022,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DBAbk Deutschland 2002 Art4; EStG 1988 §1 Abs3; DBAbk Deutschland 2002; DBAbk Türkei 2009; DBAbk Deutschland 2002 Art18.
TAX-INTL-023,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DBAbk Türkei 2009; DBAbk Deutschland 2002 Art4; DBAbk Deutschland 2002; DBAbk Schweiz 1975; DBAbk Deutschland 2002 Art18.
TAX-INTL-024,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: EStG 1988 Forschungsfreibeträge 2002 §1 Abs2 Z4; EStG 1988 §1 Abs3; EStG 1988 §1 Abs4; EStG 1988 §1 Abs2; EStG 1988 Forschungsfreibeträge 2002 §1 Abs1.
TAX-INTL-025,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DBAbk Slowakei 1995 Art3 Abs2; DBAbk Deutschland 2002 Art4; DBAbk Deutschland 2002 Art23 Abs3 litd; DBAbk Frankreich 1994 Art23 Abs2 lita; DBAbk Polen 1975 Art23 Abs2.
TAX-INTL-026,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: FamLAG 1967 §12; FamLAG 1967; FamLAG 1967 §12 Abs1; FamLAG 1967 §13; FamLAG 1967 §8.
TAX-INTL-027,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: EStG 1988 Außergewöhnliche Belastungen 1996/303; EStG 1988 Außergewöhnliche Belastungen 1996/303 §1 Abs2; EStG 1988 Außergewöhnliche Belastungen 1996/303 §4; EStG 1988 Außergewöhnliche Belastungen 1996/303 §2 Abs1; EStG 1988 Außergewöhnliche Belastungen 1996/303 §3.
TAX-INTL-028,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: EStG 1988 Berufsausbildung eines Kindes außerhalb Wohnort Nov 2001; EStG 1988 §18 Abs7; EStG 1988 §18 Abs6; EStG 1988 §18 Abs1 Z7; EStG 1988 §18 Abs1 Z6.
TAX-INTL-029,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: EStG 1988 §34 Abs7; EStG 1988 §34 Abs9; EStG 1988 §34 Abs3; EStG 1988 §34 Abs8; EStG 1988 §34 Abs2.
TAX-INTL-030,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: EStG 1967 §102 Abs2; EStG 1967 §102 Abs4; EStG 1988 §102 Abs3; EStG 1988 §102 Abs2; EStG 1988 §102 Abs2 Z1.
TAX-INTL-031,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: EStG 1967 §3 Abs1 Z29; Einkommensermittlung Sportler 2000 §1; EStG 1988 §25 Abs1 Z3 lite; EStG 1988 Berufsausbildung eines Kindes außerhalb Wohnort Nov 2001; DurchschnittssatzV Werbungskosten 2001 §1 Z7.
TAX-INTL-032,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: EStG 1988 §99 Abs1 Z5; EStG 1988 §99 Abs1 Z1; EStG 1988 §99 Abs1; EStG 1988 §99 Abs2 Z1; EStG 1988 §99 Abs2 Z2.
TAX-INTL-033,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DurchschnittssatzV Werbungskosten 2001; DurchschnittssatzV Werbungskosten 2001 §1; EStG 1988 §15 Abs2; EStG 1988 §15 Abs1; EStG 1988 §15 Abs3.
TAX-INTL-034,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: EStG 1988 §99 Abs1 Z5; EStG 1988 §99 Abs1 Z1; EStG 1988 §99 Abs2 Z1; EStG 1988 §99 Abs2 Z2; EStG 1988 §99 Abs1.
TAX-INTL-035,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DBAbk Polen 1975 Art23 Abs2; DBAbk Deutschland 2002 Art4; DBAbk Schweiz 1975; DBAbk Schweiz 1975 Art23 Abs2; DBAbk Deutschland 2002 Art18.
TAX-INTL-036,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DBAbk Deutschland 2002 Art4; DBAbk Deutschland 2002; DBAbk Schweiz 1975; DBAbk Deutschland 2002 Art18; DBAbk Belgien 1973.
TAX-INTL-037,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DBAbk Schweiz 1975; DBAbk Schweiz 1975 Art17; DBAbk Schweiz 1975 Art4; EG-Abk Schweiz 2002; DBAbk Schweiz 1975 Art4 Abs2 lita.
