id,instruction
CORP-TAX-011,"Ja, Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied sind abzugsfähig, wenn eine voraussichtlich dauernde Wertminderung vorliegt und der Teilwert ermittelt wurde (§ 6 Abs 1 Z 2 EStG bzw. § 6 Abs 1 Z 2 KStG 1988). Der Teilwert ist dabei der Wert, der sich aus der Betriebsvermögensrechnung des Beteiligungsunternehmens ergibt, wobei eine Abschreibung nur zulässig ist, wenn dieser unter dem Buchwert liegt (§ 6 Abs 1 Z 2 EStG)."
CORP-TAX-012,"Die Dividende unterliegt der Körperschaftsteuer, wird aber durch die Hinzurechnungsregel mit anschließender Anrechnung behandelt, wobei bei Erfüllung der Beteiligungsvoraussetzungen (mind. 10 % Beteiligung, mind. 12 Monate Haltedauer) eine Entlastung durch Anrechnung der ausländischen Quellensteuer möglich ist. (§ 10 Abs 1 Z 1 KStG 1988, § 1 Abs 5 KStG 1988)"
CORP-TAX-013,"Die Beteiligungsbefreiung nach § 10 KStG und das Abzugsverbot nach § 12 Abs. 1 Z 10 KStG regeln unterschiedliche Sachverhalte: § 10 KStG befreit Dividenden und Veräußerungsgewinne aus Beteiligungen von der Körperschaftsteuer, während § 12 Abs. 1 Z 10 KStG den Abzug von Lizenzgebühren an nahestehende Personen begrenzt – beide Normen können daher parallel auf denselben Konzern anwendbar sein, da sie verschiedene Einkunftsarten betreffen. Die Beteiligungsbefreiung schließt nicht aus, dass gleichzeitig Lizenzgebühren gezahlt werden, die dem Abzugsverbot unterliegen (§ 10 KStG, § 12 Abs. 1 Z 10 KStG)."
CORP-TAX-014,"Eine internationale Schachtelbeteiligung erfordert, dass ein österreichisches Unternehmen unmittelbar oder mittelbar mindestens 10 % der Anteile an einer ausländischen Kapitalgesellschaft hält und diese Beteiligung mindestens ein Jahr lang bestand oder besteht (§ 10 Abs 1 Z 1 KStG 1988). Zusätzlich muss die ausländische Gesellschaft einer Besteuerung nach Art und Weise unterliegen, die der österreichischen Besteuerung vergleichbar ist (§ 10 Abs 1 Z 2 KStG 1988)."
CORP-TAX-015,"Veräußerungsgewinne aus internationalen Schachtelbeteiligungen sind in Österreich grundsätzlich steuerfrei, sofern die Beteiligung mindestens 10 % des Kapitals umfasst und eine Haltedauer von mindestens einem Jahr erfüllt ist (§ 8 Abs 3 KStG 1988). Diese Regelung gilt auch für Gewinne aus der Veräußerung von Anteilen an ausländischen Kapitalgesellschaften, wenn die Voraussetzungen der Schachtelprivilegierung erfüllt sind (§ 8 Abs 3 Z 1 KStG 1988)."
CORP-TAX-016,"Nein, Fremdfinanzierungszinsen für den Erwerb einer steuerbefreiten Beteiligung sind nicht als Betriebsausgabe abzugsfähig, da die Zinsaufwendungen in wirtschaftlichem Zusammenhang mit steuerfrei gestellten Einkünften stehen und daher nach dem Abzugsverbot ausgeschlossen sind. (§ 4 Abs 4a EStG 1988, § 8 Abs 3 KStG 1988)"
CORP-TAX-017,"§ 11 KStG regelt den Betriebsausgabenabzug für Einkünfte aus Gewerbebetrieb und Land- und Forstwirtschaft, während § 12 KStG den Betriebsausgabenabzug für Einkünfte aus selbstständiger Arbeit normiert – beide ermöglichen den Abzug notwendiger Ausgaben zur Erwerbung, Sicherung und Erhaltung der Einnahmen, unterscheiden sich aber in ihrer Anwendbarkeit je nach Einkunftsart (§ 11 KStG, § 12 KStG)."
CORP-TAX-018,"Freiwillige Spenden zu gemeinnützigen Zwecken sind grundsätzlich nicht abzugsfähig, es sei denn, sie werden an begünstigte Institutionen geleistet und erfüllen die gesetzlichen Voraussetzungen – dann können sie als Sonderausgaben geltend gemacht werden, allerdings nur bis zu einer bestimmten Quote des Einkommens. (§ 4 Abs 4 Z 1 EStG 1988, § 4a EStG 1988)"
CORP-TAX-019,"(a) EU-Geldbußgelder sind nicht abzugsfähig, (b) Spenden an begünstigte Empfänger sind unter Einhaltung der Spendenabzugsgrenzen abzugsfähig, (c) Aufsichtsratsvergütungen sind vollständig abzugsfähig, und (d) Lizenzgebühren an konzernzugehörige Gesellschaften mit niedriger Steuerbelastung können der Zinsschranke unterliegen und teilweise nicht abzugsfähig sein (§ 4 Abs 1 EStG 1988, § 4 Abs 8 EStG 1988 für Bußgelder, § 4 Abs 9 EStG 1988 für Spenden, § 8 Abs 3 KStG 1988 für Zinsschranke)."
CORP-TAX-020,"Lizenzgebühren an konzernzugehörige Gesellschaften sind nicht abzugsfähig, wenn sie nicht dem Fremdvergleichsprinzip entsprechen oder wenn die Betriebsstätte des Lizenzgebers nicht nachgewiesen werden kann (§ 8 Abs 3 KStG 1988, § 4h EStG 1988). Darüber hinaus können Lizenzgebühren durch die Zinsschrankenregel des § 4h EStG 1988 bzw. § 8a KStG 1988 begrenzt sein, wenn sie Teil einer Finanzierungsstruktur zur Gewinnverlagerung darstellen."
CORP-TAX-021,"Der Gewinn bei rechnungslegungspflichtigen Körperschaften ist nach der Bilanzierungsmethode zu ermitteln, wobei der Gewinn als Unterschied zwischen dem Betriebsvermögen am Ende und am Anfang des Wirtschaftsjahres zuzüglich Entnahmen und abzüglich Einlagen ermittelt wird (§ 4 Abs 1 EStG, § 5 EStG analog für Körperschaften). Für Körperschaften gilt grundsätzlich die Gewinnermittlung nach Maßgabe der Rechnungslegungsvorschriften, insbesondere durch Aufstellung einer Bilanz und Gewinn- und Verlustrechnung (§ 5 Abs 1 KStG 1988)."
CORP-TAX-022,"Bei einem Erwerb von 60 % einer GmbH durch eine andere GmbH sind primär die Voraussetzungen der Gruppenbesteuerung nach § 9 KStG zu prüfen, insbesondere die Beteiligungsquote von mindestens 50 % plus eine Stimme, die Zugehörigkeit zu einer inländischen Betriebsstätte und die Gewinnabführungsvereinbarung, sowie die Hinzurechnungsvorschriften des § 8 KStG bezüglich verdeckter Gewinnausschüttungen und die Organschaftsvoraussetzungen gemäß § 10 KStG (§§ 8–10 KStG 1988)."
CORP-TAX-023,"Nach einem Verlustjahr kann die GmbH im Folgejahr erzielte Gewinne grundsätzlich normal versteuern, wobei Verluste aus dem Vorjahr durch Verlustvortrag mit zukünftigen Gewinnen verrechnet werden können, sofern die Betriebsstätte nicht unterbrochen wurde (§ 8 Abs 3 KStG 1988). Wichtig ist die Prüfung, ob eine Betriebsstättenwechsel oder wesentliche Änderungen der Geschäftstätigkeit vorliegen, da diese den Verlustvortrag beschränken können (§ 8 Abs 3a KStG 1988). Die Gewinnermittlung erfolgt nach den allgemeinen Regeln der Einnahmen-Ausgaben-Rechnung oder Bilanzierung, und die Körperschaftsteuer wird auf den verbleibenden Gewinn nach Verlustvortrag berechnet (§ 4 Abs 1 KStG 1988)."
CORP-TAX-024,"Der Gewinnermittlungszeitraum ist das Kalenderjahr (1. Jänner bis 31. Dezember), wobei Unternehmer auf Antrag ein abweichendes Wirtschaftsjahr wählen können, das nicht länger als 12 Monate sein darf. (§ 4 Abs 4 EStG 1988, § 5 Abs 1 KStG 1988)"
CORP-TAX-025,"Einlagen und Beiträge von Gesellschaftern sind keine Betriebsausgaben und mindern daher nicht die Einkünfte, da sie Kapitalzuführungen darstellen und nicht aus der Geschäftstätigkeit entstehen. Lediglich tatsächlich entstandene Betriebsausgaben sind abzugsfähig, während Einlagen als Vermögensumschichtung behandelt werden. (§ 4 Abs 1 EStG 1988, § 4 Abs 4 EStG 1988)"
CORP-TAX-026,"Der Verlustabzug ist nicht auf 75 % begrenzt, wenn die Betriebsstätte oder das Betriebsvermögen in einem EU-/EWR-Staat oder in einem Staat mit Abkommensschutz liegt und die Verluste dort bereits besteuert wurden oder hätten besteuert werden können, oder wenn es sich um Verluste aus der Betriebstätigkeit im Inland handelt, die nicht unter die Verlustabzugsbeschränkung fallen (§ 8 Abs. 4 Z 2 lit. b KStG 1988 i.V.m. § 8 Abs. 3 KStG 1988)."
CORP-TAX-027,Für die finanzielle Verbindung im Sinne des § 9 KStG ist eine Mindestbeteiligungsquote von 10 % des Kapitals oder der Stimmrechte erforderlich (§ 9 Abs 1 KStG 1988).
CORP-TAX-028,"Die finanzielle Verbindung zu einem Gruppenmitglied muss grundsätzlich mindestens 75 % der Anteile oder Stimmrechte umfassen und muss während des gesamten Veranlagungszeitraums bestehen, in dem die Gruppenbesteuerung in Anspruch genommen werden soll (§ 9 Abs 1 Z 1 KStG 1988). Für den Beginn und die Beendigung der Gruppenzugehörigkeit gelten spezielle Übergangsregelungen, wonach die Beteiligung auch nur am ersten oder letzten Tag des Jahres bestehen kann (§ 9 Abs 5 KStG 1988)."
CORP-TAX-029,"Nein, Vorgruppenverluste aus Teilwertabschreibungen auf Beteiligungen an Körperschaften einer anderen Unternehmensgruppe können nicht mit dem Gruppengewinn verrechnet werden, da diese Verluste nicht aus der Gruppenbesteuerung selbst entstanden sind und die Gruppenbesteuerung nur Gewinne und Verluste aus der Betriebstätigkeit der Gruppenmitglieder erfasst. (§ 9 Abs 1 KStG 1988, § 9 Abs 5 KStG 1988)"
CORP-TAX-030,"Eine österreichische Körperschaft, die in beiden Ländern unbeschränkt steuerpflichtig ist, kann grundsätzlich als Gruppenträger einer Körperschaftsteuergruppe fungieren, muss aber beachten, dass das deutsche Konzernbesteuerungssystem (Organschaft) und das österreichische Gruppenbesteuerungssystem unterschiedliche Anforderungen haben und parallel nebeneinander bestehen können, was zu Doppelbesteuerungsrisiken und Koordinierungsproblemen führt. Eine Abstimmung mit beiden Finanzbehörden und eine Prüfung der Doppelbesteuerungsabkommen (DBA Österreich-Deutschland) ist erforderlich. (§ 9 Abs 1 KStG 1988, §§ 1, 2 GrStG 2005, DBA Österreich-Deutschland Art. 2)"
CORP-TAX-031,"Vorgruppenverluste sind Verluste, die eine Betriebsstätte oder ein Betriebsteil vor dem Beitritt zur Unternehmensgruppe erwirtschaftet hat und die grundsätzlich nicht auf andere Gruppenmitglieder übertragen werden dürfen. Sie werden in der Gruppenbesteuerung dadurch behandelt, dass sie beim beitretenden Unternehmen verbleiben und nur von diesem selbst zur Verlustverrechnung herangezogen werden können, nicht aber von der Gruppe insgesamt (§ 9 Abs 7 KStG 1988, § 9 Abs 8 KStG 1988)."
CORP-TAX-032,"Bei der Verlustverrechnung zwischen inländischen und ausländischen Gruppenmitgliedern besteht der wesentliche Unterschied darin, dass Verluste ausländischer Betriebsstätten nur bis zur Höhe ihrer positiven Einkünfte mit inländischen Gewinnen verrechnet werden können und einer Nachversteuerung unterliegen, wenn die ausländische Betriebsstätte später wieder Gewinne erwirtschaftet (§ 8 Abs 3 KStG 1988, § 9 Abs 1 Z 2 KStG 1988). Inländische Verluste können dagegen unbegrenzt mit inländischen Gewinnen verrechnet werden, unterliegen aber der Verlustvortragsregel mit einer Mindestbesteuerung ab 2024 (§ 8 Abs 1 KStG 1988, § 8 Abs 5a KStG 1988)."
CORP-TAX-033,"Die Einjahresfrist für internationale Schachtelbeteiligungen gilt grundsätzlich auch für Anteile aus Kapitalerhöhungen, sofern diese neu erworbenen Anteile die Beteiligungsvoraussetzungen erfüllen und ab dem Zeitpunkt des Erwerbs gerechnet werden. (§ 10 Abs 2 KStG 1988, § 8 Abs 3 KStG 1988)"
CORP-TAX-034,"Bei der Veräußerung einer internationalen Schachtelbeteiligung durch eine Körperschaft mit Vorjahresverlusten sind primär die Regelungen zur Gewinneinkünftigkeit der Veräußerung (§ 5 Abs 1 KStG 1988), die Verlustverrechnung (§ 8 Abs 3 KStG 1988) sowie die Hinzurechnungsvorschriften bei Beteiligungen an ausländischen Körperschaften (§ 10 KStG 1988) einschlägig, wobei auch die Bestimmungen zur Betriebsstätteneinkünftebesteuerung (§ 9 KStG 1988) und gegebenenfalls die Hinzurechnungsbesteuerung nach § 91 ff KStG 1988 zu beachten sind."
CORP-TAX-035,"Nein, eine Beteiligung von 8 % erfüllt nicht die Mindestbeteiligungsquote von 10 % für die internationale Schachtelbegünstigung, daher besteht kein Anspruch auf Steuerbefreiung der Dividende. Die Dividende unterliegt in Österreich der Körperschaftsteuer und ist nicht steuerfrei (§ 8 Abs 3 KStG 1988, § 10 KStG 1988)."
CORP-TAX-036,"Die Option zur Steuerwirksamkeit einer Schachtelbeteiligung (Befreiung von der Hinzurechnungsbesteuerung) bleibt beim konzerninternen Weiterverkauf im Umgründungsfall erhalten, sofern die Beteiligung als Betriebsvermögen behandelt wird und die Voraussetzungen des § 10 Abs 2 KStG 1988 weiterhin erfüllt sind. Bei der Umgründung selbst wird die Beteiligung mit ihrem Buchwert übertragen, wodurch die Steuerwirksamkeitsoption nicht verloren geht, solange der Nachfolger die Beteiligung ebenfalls als Betriebsvermögen hält (§ 1 Abs 1 UmgrStG, § 10 Abs 2 KStG 1988)."
CORP-TAX-037,"Gewinnanteile aus ausländischen Schachtelbeteiligungen sind trotz der Befreiung nach § 10 KStG steuerpflichtig, wenn die ausländische Beteiligungsgesellschaft nicht unbeschränkt steuerpflichtig ist oder wenn die Voraussetzungen der Beteiligungsfreistellung (Mindestbeteiligung von 10 %, Beteiligungsdauer von mindestens einem Jahr) nicht erfüllt sind; zudem können Gewinnanteile steuerpflichtig sein, wenn sie aus Einkünften stammen, die in Österreich der Besteuerung unterliegen oder wenn Anti-Missbrauchsbestimmungen greifen (§ 10 Abs 1 und 2 KStG 1988, § 8 Abs 3 KStG 1988)."
CORP-TAX-038,"Nach § 11 KStG 1988 gelten als Betriebsausgaben insbesondere Aufwendungen für Geschäftsführung und Verwaltung, Vorstandsgehälter, Aufsichtsratsvergütungen, Abschreibungen auf Betriebsvermögen, Rückstellungen für Pensionen und Abfertigungen sowie Spenden und Mitgliedsbeiträge, soweit sie den Betrieb der Körperschaft fördern (§ 11 KStG 1988). Nicht abzugsfähig sind hingegen Aufwendungen für Kapitalerträge, Strafzinsen und Geldstrafen (§ 11 Abs 2 KStG 1988)."
CORP-TAX-039,"Nach § 12 Abs 1 KStG sind insbesondere die Körperschaftsteuer selbst, Gemeindesteuern, Grundsteuer und Luxussteuer nicht als Betriebsausgaben abzugsfähig, während andere Steuern wie Umsatzsteuer (unter bestimmten Voraussetzungen) oder Arbeitnehmerabgaben grundsätzlich abzugsfähig sind. (§ 12 Abs 1 KStG 1988)"
CORP-TAX-040,"Zinsen für konzerninterne Beteiligungsfinanzierungen sind nicht abzugsfähig, wenn die Zinsschrankenregel greift, d.h. wenn die Nettozinsaufwendungen 30 % des steuerpflichtigen Gewinns (vor Zinsabzug) übersteigen und das Unternehmen Teil einer Unternehmensgruppe ist (§ 4h EStG, § 8a KStG 1988). Zusätzlich können Zinsen verweigert werden, wenn eine Gewinnabgrenzungsverfügung der Finanzbehörde vorliegt, die eine nicht angemessene Verzinsung feststellt (§ 8 Abs 3 KStG 1988, § 1 Abs 1 EStG)."
CORP-TAX-041,"Der Gewinn eines abweichenden Wirtschaftsjahres wird in jenem Veranlagungsjahr erfasst, in welches der Schluss des Wirtschaftsjahres fällt (§ 4 Abs 4 EStG 1988, § 5 Abs 1 KStG 1988). Beispiel: Ein Wirtschaftsjahr vom 1.7.2023 bis 30.6.2024 wird im Veranlagungsjahr 2024 erfasst, da der Jahresschluss in dieses Kalenderjahr fällt."
CORP-TAX-042,"Das Einkommen einer Körperschaft wird durch Ermittlung des Gewinns nach den Vorschriften des Einkommensteuergesetzes berechnet, wobei Betriebsausgaben, Werbungskosten und bestimmte Sonderausgaben abzugsfähig sind (§ 4 Abs 1 KStG 1988). Zulässige Abzüge umfassen insbesondere Betriebsausgaben, Zinsen auf Schulden, Abschreibungen, Rückstellungen sowie Spenden bis zur gesetzlichen Höchstgrenze (§ 4 Abs 4 und 5 KStG 1988). Nicht abzugsfähig sind hingegen Ausgaben für private Zwecke, Strafzahlungen und Bußgelder sowie Aufwendungen für Geschenke über bestimmte Wertgrenzen (§ 4 Abs 8 KStG 1988)."
CORP-TAX-043,"Bei einer rechnungslegungspflichtigen GmbH sind primär § 7 KStG (Betriebsvermögen und Einkünfte), § 8 KStG (Gewinnermittlung nach Handelsbilanz mit Anpassungen), § 9 KStG (Betriebsausgaben und deren Abzugsfähigkeit) sowie § 10 KStG (Rücklagen und Rückstellungen) relevant, da diese die Überleitung vom Handelsbilanzgewinn durch Hinzurechnungen und Kürzungen zum steuerpflichtigen Einkommen regeln. § 11 KStG (Verlustausgleich und -vortrag) und § 12 KStG (Sonderausgaben) spielen eine untergeordnete Rolle, da sie primär bei Einzelunternehmern und Personengesellschaften Anwendung finden."
CORP-TAX-044,"Nein, die Art der Einkommensverwendung hat keinen Einfluss auf die Einkommensermittlung, da das Einkommen unabhängig von seiner späteren Verwendung oder Verteilung ermittelt wird – maßgeblich sind allein die Betriebseinnahmen und Betriebsausgaben bzw. die Gewinneinkünfte nach den Bestimmungen der einzelnen Einkunftsarten (§ 4 EStG 1988, § 6 EStG 1988). Ausschüttungen, Entnahmen oder Thesaurierungen sind Fragen der Gewinnverwendung, nicht der Gewinnermittlung."
CORP-TAX-045,"Nein, Körperschaften können Verlustvorträge nicht unbegrenzt mit dem Jahresgewinn verrechnen, sondern nur bis zur Höhe von 75 % des positiven Gewinns des Jahres, wobei ein Mindestbetrag von 94.000 Euro ausgenommen ist; dies gilt unabhängig vom Wirtschaftsjahr (§ 8 Abs 3 KStG 1988)."
CORP-TAX-046,"Beide Institute dienen der Missbrauchsbekämpfung bei Unternehmensumstrukturierungen: Der Mantelkauf führt zum Verlust von Verlustvorträgen bei wesentlicher Änderung der Geschäftstätigkeit nach Eigentümerwechsel, während der Gruppenaustritt zum Verlust von Verlustvorträgen führt, wenn ein Unternehmen die Organschaftsgruppe verlässt (§ 8 KStG 1988, § 9 KStG 1988). Der Unterschied liegt darin, dass beim Mantelkauf die Geschäftstätigkeit selbst maßgeblich ist, während beim Gruppenaustritt allein die Zugehörigkeit zur Gruppe entscheidend ist. (§ 8 Abs 3 KStG 1988, § 9 Abs 1 KStG 1988)"
CORP-TAX-047,"Bei einem Mantelkauf mit Betriebsstättenwechsel oder wesentlicher Änderung der Geschäftstätigkeit werden Verluste grundsätzlich nicht mehr berücksichtigt, da eine wirtschaftliche Kontinuität fehlt (§ 8 Abs 3 KStG 1988). Eine Ausnahme besteht, wenn die Körperschaft nachweist, dass die Verluste in der neuen Betriebsstätte oder bei der neuen Geschäftstätigkeit wirtschaftlich verursacht wurden oder wenn eine materielle Betriebsfortführung vorliegt (§ 8 Abs 3 Z 2 KStG 1988)."
CORP-TAX-048,"Rückvergütungen von Erwerbs- und Wirtschaftsgenossenschaften gelten als Einkommensverwendung, soweit sie auf Grund der Beteiligung an der Genossenschaft gewährt werden und die Genossenschaft damit ihre Gewinne an die Mitglieder verteilt (§ 7 Abs 1 Z 1 EStG 1988). Diese Rückvergütungen mindern daher das Einkommen des Empfängers in dem Jahr, in dem sie zufließen."
CORP-TAX-049,"Bei Ausscheiden eines ausländischen Gruppenmitglieds aus der Organschaft gehen nicht verrechnete Verluste verloren, da die Verlustverrechnung auf die Betriebsstättenzurechnung beschränkt ist und mit Beendigung der Gruppenzugehörigkeit die Zurechnungsvoraussetzungen entfallen. Eine Mitnahme von Verlusten in die Besteuerung des ausländischen Staates ist österreichisch nicht möglich, da Verluste nur innerhalb der Organschaft zwischen In- und Ausländer verrechenbar sind. (§ 9 Abs 5 KStG 1988, § 9 Abs 6 KStG 1988)"
CORP-TAX-050,"Die Unternehmensgruppe ermöglicht durch die Organschaftsbesteuerung die Verlustverrechnung zwischen verbundenen Unternehmen und die Vermeidung von Doppelbesteuerungen auf Konzernebene, wodurch die Gesamtsteuerlast der Gruppe reduziert wird. Zudem können Betriebsstätten und Betriebe im In- und Ausland zusammengefasst werden, was zu einer optimierten Gewinnabgrenzung führt. (§ 9 Abs 1 KStG 1988, § 8 Abs 3 KStG 1988)"
CORP-TAX-051,"Für eine solche Unternehmensgruppe gelten die Regelungen der Organschaftsbesteuerung (§§ 9–12 KStG), wobei die profitable Inlandstochter und die Verlusttochter im Inland in die Gewinnabgrenzung einbezogen werden können, während die EU-Verlusttochter nur unter Erfüllung der Betriebsstättenerfordernisse des § 9 Abs 1 KStG organschaftsfähig ist; Vorgruppenverluste der inländischen Verlusttochter können grundsätzlich nicht auf den Gruppenträger übertragen werden, da § 7 KStG (Verlustausgleich) nur innerhalb einer Betriebsstätte gilt (§§ 7, 9 Abs 1, 10 KStG)."
CORP-TAX-052,"Eine Beteiligungsgemeinschaft kann als Gruppenträger fungieren, wenn die an ihr beteiligten Unternehmen eine Betriebsstättenbeteiligung von mindestens 75 % halten und diese Beteiligung unmittelbar oder mittelbar besteht (§ 9 Abs 1 Z 1 GrStG 2005). Die einzelnen Mitbeteiligten müssen jeweils eine Mindestbeteiligung von 10 % an der Beteiligungsgemeinschaft aufweisen, wobei auch Beteiligungen von unter 10 % berücksichtigt werden können, wenn sie zusammen mit anderen Beteiligungen die 10 %-Schwelle erreichen (§ 9 Abs 1 Z 2 GrStG 2005)."
CORP-TAX-053,"Ja, für die Steuerfreiheit inländischer Beteiligungserträge ist eine Mindestbeteiligungsquote von 10 % erforderlich, wobei die Beteiligung unmittelbar gehalten werden muss; eine Mindesthaltefrist besteht nicht, jedoch muss die Beteiligung zum Zeitpunkt der Gewinnausschüttung noch bestehen (§ 10 Abs 1 Z 1 KStG 1988)."
CORP-TAX-054,"Die Option zur Steuerwirksamkeit ermöglicht es Betriebstätten ausländischer Unternehmen in Österreich, sich freiwillig der österreichischen Körperschaftsteuer zu unterwerfen und damit Betriebsstätteneinkünfte wie Gewinne einer inländischen Kapitalgesellschaft zu besteuern. Sie wird durch schriftliche Erklärung gegenüber dem Finanzamt ausgeübt und gilt ab dem Veranlagungsjahr der Erklärung, wobei eine Bindungsfrist von mindestens fünf Jahren besteht (§ 8 Abs 3 KStG 1988, § 1 Abs 5 KStG 1988)."
CORP-TAX-055,"Bei Sitzverlegung einer inländischen Tochtergesellschaft ins Ausland entsteht eine internationale Schachtelbeteiligung, wobei die stillen Reserven durch die Betriebsstättenverlagerung grundsätzlich nicht unmittelbar realisiert werden, da die Gesellschaft als solche fortbesteht – allerdings können Gewinnausschüttungen später der Schachtelprivilegbefreiung unterliegen oder entfallen, wenn die 10%-Beteiligungsschwelle nicht mehr erfüllt ist (§ 10 Abs 1 Z 1 KStG 1988, § 8 Abs 3 KStG 1988). Die stillen Reserven bleiben in der Gesellschaft erhalten, werden aber bei künftigen Ausschüttungen relevant für die Besteuerung beim Mutterunternehmen."
