id,prompt
CORP-TAX-034,"Welche Normen sind einschlägig, wenn eine Körperschaft eine internationale Schachtelbeteiligung veräußert und gleichzeitig Vorjahresverluste bestehen?"
CORP-TAX-035,Hat eine Beteiligung von 8 % an einer deutschen GmbH Anspruch auf die internationale Schachtelbegünstigung? Ist die Dividende trotzdem steuerfrei?
CORP-TAX-036,Welche Auswirkung hat die Option zur Steuerwirksamkeit einer Schachtelbeteiligung beim konzerninternen Weiterverkauf im Rahmen einer Umgründung?
CORP-TAX-037,Wann sind Gewinnanteile aus ausländischen Schachtelbeteiligungen trotz § 10 KStG steuerpflichtig?
CORP-TAX-038,Welche körperschaftsspezifischen Aufwendungen gelten nach § 11 KStG als Betriebsausgaben?
CORP-TAX-039,Welche Steuern sind nach § 12 KStG nicht als Betriebsausgaben abzugsfähig?
CORP-TAX-040,Unter welchen Voraussetzungen sind Zinsen für konzerninterne Beteiligungsfinanzierungen nicht abzugsfähig?
CORP-TAX-041,In welchem Veranlagungsjahr wird der Gewinn eines abweichenden Wirtschaftsjahres erfasst?
CORP-TAX-042,Wie wird das Einkommen einer Körperschaft berechnet und welche Abzüge sind vorgesehen?
CORP-TAX-043,Welche Normen der §§ 7–12 KStG sind typischerweise bei der Überleitung vom Handelsbilanzgewinn zum steuerpflichtigen Einkommen einer rechnungslegungspflichtigen GmbH relevant?
CORP-TAX-044,"Hat die Art der Einkommensverwendung (Ausschüttung, Entnahme etc.) Einfluss auf die Einkommensermittlung?"
CORP-TAX-045,Kann eine Körperschaft mit abweichendem Wirtschaftsjahr ihre Verlustvorträge unbegrenzt mit dem Jahresgewinn verrechnen?
CORP-TAX-046,Welche Gemeinsamkeiten und Unterschiede bestehen zwischen einem Mantelkauf (§ 8 KStG) und dem Verlust von Verlustvorträgen bei Ausscheiden aus einer Gruppe (§ 9 KStG)?
CORP-TAX-047,Warum kann eine Körperschaft nach einem Mantelkauf ihre Verluste grundsätzlich nicht mehr nutzen – und welche Ausnahme gibt es?
CORP-TAX-048,Welche Rückvergütungen von Erwerbs- und Wirtschaftsgenossenschaften gelten als Einkommensverwendung?
CORP-TAX-049,"Was passiert steuerlich, wenn ein ausländisches Gruppenmitglied die Unternehmensgruppe verlässt und zuvor zugerechnete Verluste im Ausland noch nicht verrechnet wurden?"
CORP-TAX-050,Welchen steuerlichen Vorteil bietet die Unternehmensgruppe gegenüber der isolierten Besteuerung?
CORP-TAX-051,"Welche Bestimmungen der §§ 7–12 KStG gelten für eine Unternehmensgruppe mit inländischem Gruppenträger, profitabler Inlandstochter, Verlusttochter im Inland (mit Vorgruppen verlusten) und Verlusttochter in der EU?"
CORP-TAX-052,Kann eine Beteiligungsgemeinschaft als Gruppenträger fungieren und welche Mindestquoten gelten für die einzelnen Mitbeteiligten?
CORP-TAX-053,Gibt es für die Steuerfreiheit inländischer Beteiligungserträge eine Mindestbeteiligungsquote oder Haltefrist?
CORP-TAX-054,Was ist die 'Option zur Steuerwirksamkeit' und wie wird sie ausgeübt?
CORP-TAX-055,Entsteht eine internationale Schachtelbeteiligung durch Sitzverlegung einer inländischen Tochtergesellschaft ins Ausland – wie wirkt sich das auf die bisherigen stillen Reserven aus?
CORP-TAX-056,"Welche steuerliche Behandlung erfahren Zinsen für die Fremdfinanzierung einer Beteiligung, (a) wenn der Verkäufer konzernfremd ist und (b) wenn der Verkäufer die Muttergesellschaft ist?"
CORP-TAX-057,Welche Einschränkung gilt für den Betriebsausgabenabzug bei nur teilweise steuerpflichtigen Körperschaften?
CORP-TAX-058,"Welche Einschränkung gilt für den Betriebsausgabenabzug bei einer Körperschaft, die nur teilweise steuerpflichtig ist?"
CORP-TAX-059,Sind von Gerichten oder Verwaltungsbehörden verhängte Strafen steuerlich abzugsfähig?
CORP-TAX-060,Wie werden Aufsichtsratsvergütungen steuerlich behandelt?
TAX-INTL-001,"Eine in Deutschland ansässige Angestellte mietet ab April eine nicht bewohnbare (unmöblierte) Wohnung in Wien, behält jedoch ihre deutsche Wohnung und ihren deutschen Wohnsitz. Begründet die Wiener Wohnung in Österreich grundsätzlich eine unbeschränkte Steuerpflicht?"
TAX-INTL-002,"Ein in Italien wohnender Investor hat in Österreich weder Wohnsitz noch gewöhnlichen Aufenthalt, erzielt aber Mieteinkünfte aus einer Wohnung in Salzburg. Ist er in Österreich nur beschränkt steuerpflichtig?"
TAX-INTL-003,Ein französischer Consultant hält sich ohne feste Wohnung sieben Monate durchgehend in Österreich auf. Entsteht dadurch eine unbeschränkte Steuerpflicht?
TAX-INTL-004,Eine in der Schweiz lebende Managerin nutzt ihre Wiener Zweitwohnung nur 50 Tage pro Jahr und hält sich darüber hinaus nicht länger im Inland auf. Führt die Zweitwohnung allein zur unbeschränkten Steuerpflicht?
TAX-INTL-005,Ein in den USA tätiger Österreicher lässt die Familienwohnung in Wien unverändert bestehen; seine Ehefrau und das minderjährige Kind leben weiterhin dort. Behält er dadurch grundsätzlich einen inländischen Wohnsitz?
TAX-INTL-006,"Eine Person besitzt in Österreich nur eine leerstehende, unmöblierte Wohnung, die tatsächlich nicht bewohnbar gehalten wird. Begründet diese leerstehende Wohnung einen Wohnsitz?"
TAX-INTL-007,Ein digitaler Nomade lebt während seiner Österreich-Aufenthalte ausschließlich in einem mobilen Wohnwagen. Kann dadurch ein inländischer Wohnsitz begründet werden?
TAX-INTL-008,"Eine in den Niederlanden studierende Österreicherin wohnt dort unter der Woche im Studentenheim, kann aber im Elternhaus in Graz jederzeit ein Zimmer nutzen. Die Studentin ist wirtschaftlich von den Eltern abhängig. Behält sie grundsätzlich einen inländischen Wohnsitz?"
TAX-INTL-009,Ein in der Slowakei wohnender Arbeitnehmer pendelt täglich zu seinem Arbeitsplatz in Österreich und kehrt jeden Abend an seinen ausländischen Wohnsitz zurück. Begründet er dadurch einen gewöhnlichen Aufenthalt in Österreich?
TAX-INTL-010,Ein in Ungarn wohnender Arbeitnehmer übernachtet von Montag bis Donnerstag regelmäßig am österreichischen Arbeitsort und fährt nur am Wochenende heim. Kann dadurch ein gewöhnlicher Aufenthalt in Österreich entstehen?
TAX-INTL-011,Eine Person hält sich über mehrere Monate überwiegend in Österreich auf und reist zwischendurch für kurze Projekteinsätze ins Ausland. Unterbrechen diese kurzfristigen Auslandsaufenthalte den gewöhnlichen Aufenthalt automatisch?
TAX-INTL-012,"Eine Person, die zuvor in Österreich beschränkt steuerpflichtig gewesen ist, zieht mitten im Kalenderjahr aus Deutschland nach Wien und wird dadurch in Österreich unbeschränkt steuerpflichtig. Sind für das Zuzugsjahr grundsätzlich zwei Steuerabschnitte zu unterscheiden?"
TAX-INTL-013,"Ein Arbeitnehmer verdient seinen Bonus noch vor dem Umzug nach Österreich, der Bonus wird aber erst nach Begründung des inländischen Wohnsitzes ausbezahlt. Ist der spätere Zufluss für die österreichische Erfassung grundsätzlich relevant?"
TAX-INTL-014,"Eine in Belgien lebende Person erzielt vor ihrem Zuzug nach Österreich ausländische Einkünfte, die auch vor dem Zuzug zugeflossen sind. Sind diese Einkünfte in Österreich wegen des späteren Zuzugs nachträglich zu erfassen?"
TAX-INTL-015,Ein österreichischer Steuerinländer gibt seinen inländischen Wohnsitz auf und verlegt den Mittelpunkt seiner Lebensinteressen ins Ausland. Kann die Aufgabe des inländischen Wohnsitzes Wegzugsbesteuerung auslösen?
TAX-INTL-016,"Eine Person dokumentiert nur 65 Tage in ihrer Wiener Zweitwohnung, mietet aber zusätzlich für zwei Monate ein Appartement und hält sich wegen weiterer Hotelaufenthalte insgesamt rund sechs Monate beruflich in Österreich auf. Kann trotz 70-Tage-Grenze unbeschränkte Steuerpflicht entstehen?"
TAX-INTL-017,Ein ausländischer Saisonarbeiter arbeitet vier Monate in Tirol und kehrt danach in seinen Heimatstaat zurück. Hat er nach den Richtlinien grundsätzlich einen gewöhnlichen Aufenthalt in Österreich?
TAX-INTL-018,Ein ausländischer Saisonarbeiter bleibt aufgrund mehrerer aufeinanderfolgender Einsätze insgesamt länger als sechs Monate in Österreich. Tritt die unbeschränkte Steuerpflicht rückwirkend ein?
TAX-INTL-019,Ein kanadischer Arbeitnehmer hat ab Januar 2026 eine Arbeitserlaubnis für acht Monate und ist ab Februar 2026 tatsächlich in Österreich anwesend. Gilt er ab Beginn seiner Anwesenheit als unbeschränkt steuerpflichtig?
TAX-INTL-020,"Ein in Spanien lebender Berater hat in Österreich weder Wohnsitz noch gewöhnlichen Aufenthalt. Wenn seine inländischen Einkünfte wegfallen, endet dann grundsätzlich auch die beschränkte Steuerpflicht?"
TAX-INTL-021,"Ein deutscher Staatsangehöriger lebt in Deutschland, hat keinen Wohnsitz in Österreich, erzielt aber 95% seiner Jahreseinkünfte aus Österreich. Kann er auf Antrag wie ein unbeschränkt Steuerpflichtiger behandelt werden?"
TAX-INTL-022,Eine in Slowenien wohnende EU-Bürgerin erzielt österreichische Einkünfte und hat nur 10.000 Euro nicht in Österreich steuerpflichtige Auslandseinkünfte. Kann sie trotz Unterschreitens der 90%-Quote den Antrag nach § 1 Abs. 4 EStG 1988 stellen?
TAX-INTL-023,Ein in Serbien wohnender Drittstaatsangehöriger erzielt nur österreichische Einkünfte und möchte die Behandlung als unbeschränkt Steuerpflichtiger nach § 1 Abs. 4 EStG 1988 beantragen. Ist das allein schon aufgrund seiner Staatsangehörigkeit ausgeschlossen?
TAX-INTL-024,Muss die Höhe der nicht in Österreich steuerpflichtigen Auslandseinkünfte für den Antrag nach § 1 Abs. 4 EStG 1988 nachgewiesen werden?
TAX-INTL-025,Erstreckt sich die beschränkte österreichische Steuerpflicht eines in Polen ansässigen Steuerpflichtigen auf dessen gesamtes Welteinkommen?
TAX-INTL-026,Kann ein beschränkt Steuerpflichtiger in der Veranlagung den Familienbonus Plus oder den Alleinverdienerabsetzbetrag beanspruchen?
TAX-INTL-027,"Sind Sonderausgaben bei beschränkt Steuerpflichtigen nur dann abzugsfähig, wenn ein Inlandsbezug besteht?"
TAX-INTL-028,Gibt es bei beschränkt Steuerpflichtigen keinen gesetzlichen Zuschlag zum Einkommen für die Steuerberechnung?
TAX-INTL-029,Sind außergewöhnliche Belastungen nach § 34 EStG 1988 und § 35 EStG 1988 bei beschränkter Steuerpflicht anwendbar?
TAX-INTL-030,Ein beschränkt steuerpflichtiger Arbeitnehmer bezieht neben seinem österreichischen Arbeitslohn noch andere veranlagungspflichtige österreichische Einkünfte von mehr als 730 Euro. Führt das zu einer Veranlagung nach § 102 EStG 1988?
TAX-INTL-031,Ein beschränkt steuerpflichtiger Arbeitnehmer hat im selben Kalenderjahr zeitweise zwei getrennt lohnversteuerte österreichische Dienstverhältnisse. Ist eine Veranlagung vorgesehen?
TAX-INTL-032,"Kann ein beschränkt Steuerpflichtiger veranlagt werden, obwohl von seinen inländischen Einkünften weder Lohnsteuer noch KESt noch Abzugsteuer nach § 99 EStG 1988 bis § 101 EStG 1988 vorzunehmen ist?"
TAX-INTL-033,Werden bei der laufenden Lohnsteuerberechnung für beschränkt lohnsteuerpflichtige Arbeitnehmer dieselben Absetzbeträge berücksichtigt wie bei unbeschränkt Steuerpflichtigen?
TAX-INTL-034,Ein in Deutschland ansässiger beschränkt steuerpflichtiger Arbeitnehmer erzielt Bezüge aus einer Tätigkeit im Sinne des § 99 Abs. 1 Z 1 EStG 1988 und teilt dem Arbeitgeber unmittelbar zusammenhängende Werbungskosten vor Auszahlung mit. Kann der Arbeitgeber diese Werbungskosten bereits beim Lohnsteuerabzug abziehen?
TAX-INTL-035,"Beginnt die beschränkte Steuerpflicht bereits mit der Aufgabe des österreichischen Wohnsitzes, wenn weiterhin österreichische Inlandseinkünfte erzielt werden?"
TAX-INTL-036,"Wie ist vorzugehen, wenn ein in Österreich unbeschränkt Steuerpflichtiger Einkünfte aus einem Staat mit DBA bezieht?"
TAX-INTL-037,"Dient ein DBA aus österreichischer Sicht dazu, eine mehrfache Besteuerung derselben Einkünfte zu vermeiden?"
TAX-INTL-038,Was bedeutet bei Auslandseinkünften eines in Österreich ansässigen Steuerpflichtigen die Befreiungsmethode?
TAX-INTL-039,Was bedeutet bei Auslandseinkünften eines in Österreich ansässigen Steuerpflichtigen die Anrechnungsmethode?
TAX-INTL-040,Sind ausländische Einkünfte bei ihrer Berücksichtigung in Österreich stets nach österreichischem Steuerrecht zu ermitteln?
TAX-INTL-041,"Müssen Auslandseinkünfte an österreichische Einkommensermittlungsvorschriften angepasst werden, wenn das ausländische Steuerrecht andere Befreiungen oder Abschreibungen vorsieht?"
TAX-INTL-042,"Ist ein in Österreich unbeschränkt Steuerpflichtiger mit seinem gesamten Welteinkommen steuerpflichtig, auch wenn einzelne Einkünfte bereits im Ausland besteuert wurden?"
TAX-INTL-043,Kann ein DBA nach österreichischer Methodik eine nach innerstaatlichem Recht bestehende Steuerpflicht einschränken?
TAX-INTL-044,Können bei DBA-Fällen die wirtschaftliche Zuordnung und nicht allein der spätere Zufluss für die Zuordnung von Einkünften maßgeblich sein?
TAX-INTL-045,Kann jemand nach österreichischem Steuerrecht mehr als einen Wohnsitz haben?
TAX-INTL-046,"Unterliegen bei beschränkt Steuerpflichtigen Einkünfte, die nach § 98 EStG 1988 nicht steuerpflichtig sind, einem österreichischen Progressionsvorbehalt?"
TAX-INTL-047,Darf Österreich bei der Befreiungsmethode die nach dem DBA steuerfreien Auslandseinkünfte für die Ermittlung des Steuersatzes auf die Inlandseinkünfte berücksichtigen?
TAX-INTL-048,Ist bei der Anrechnungsmethode die ausländische Steuer von der österreichischen Steuer abzuziehen statt die Auslandseinkünfte vollständig auszunehmen?
TAX-INTL-049,"Soll bei grenzüberschreitenden Fällen mit Deutschland, der Schweiz oder den USA stets geprüft werden, ob ein DBA besteht?"
TAX-INTL-050,"Begründet ein DBA für sich allein eine österreichische Steuerpflicht, wenn das innerstaatliche Recht keine Steuerpflicht vorsieht?"
TAX-INTL-051,"Ein in Tschechien ansässiger Architekt wird persönlich für ein Projekt in Wien tätig, ohne dort eine Betriebsstätte zu haben. Unterliegen die Honorare in Österreich der beschränkten Steuerpflicht?"
TAX-INTL-052,"Ein in Schweden ansässiger Berater erbringt seine Leistung physisch im Ausland, der wirtschaftliche Erfolg soll aber unmittelbar der österreichischen Volkswirtschaft dienen. Kann die Tätigkeit in Österreich als verwertet gelten?"
TAX-INTL-053,Ist für die beschränkte Steuerpflicht selbständiger Arbeit im Inland zwingend eine österreichische Betriebsstätte erforderlich?
TAX-INTL-054,Ein in Liechtenstein ansässiger Unternehmer unterhält in Österreich eine Betriebsstätte. Unterliegen die damit erzielten gewerblichen Einkünfte in Österreich der beschränkten Steuerpflicht?
TAX-INTL-055,"Ein ausländischer Gewerbetreibender hat in Österreich keine Betriebsstätte, aber einen ständigen Vertreter. Können dadurch in Österreich beschränkt steuerpflichtige gewerbliche Einkünfte entstehen?"
TAX-INTL-056,"Ein in Italien ansässiger Unternehmer erzielt mit einem in Österreich gelegenen Hotel gewerbliche Einkünfte, ohne dort seinen Sitz zu haben. Begründet das unbewegliche Vermögen im Inland eine beschränkte Steuerpflicht?"
TAX-INTL-057,"Ein ausländisches Beratungsunternehmen erbringt kaufmännische Beratung in Österreich, ohne dort Betriebsstätte oder ständigen Vertreter zu haben. Sind diese Einkünfte dennoch in Österreich steuerpflichtig?"
TAX-INTL-058,Ein slowakisches Unternehmen stellt Arbeitskräfte zur Arbeitsausübung in Österreich. Entsteht auch ohne österreichische Betriebsstätte beschränkte Steuerpflicht?
TAX-INTL-059,"Ein in Deutschland ansässiger Musiker tritt in Wien auf, ohne in Österreich eine Betriebsstätte zu haben. Unterliegen die daraus stammenden gewerblichen Einkünfte in Österreich der beschränkten Steuerpflicht?"
TAX-INTL-060,Ein in Ungarn ansässiger Arbeitnehmer arbeitet vorübergehend physisch in Österreich. Können seine Arbeitslohneinkünfte in Österreich beschränkt steuerpflichtig sein?
TAX-INTL-061,Ein im Ausland lebender früherer Beamter erhält Bezüge aus einer österreichischen öffentlichen Kasse aufgrund eines früheren Dienstverhältnisses. Erfasst § 98 EStG 1988 solche Einkünfte?
TAX-INTL-062,Eine in Frankreich wohnende Person vermietet eine in Innsbruck gelegene Eigentumswohnung. Sind diese Einkünfte in Österreich beschränkt steuerpflichtig?
TAX-INTL-063,Ein in der Schweiz wohnender Privatanleger verkauft ein in Wien gelegenes Grundstück aus seinem Privatvermögen. Unterliegt der Veräußerungsgewinn in Österreich der beschränkten Steuerpflicht?
TAX-INTL-064,Ein in Bayern ansässiger Landwirt bewirtschaftet zusätzlich Ackerflächen in Österreich. Sind die daraus erzielten Einkünfte in Österreich beschränkt steuerpflichtig?
TAX-INTL-065,"Eine in Spanien ansässige Person erzielt Einkünfte aus Rechten, die in ein österreichisches öffentliches Register eingetragen sind und vermietet werden. Kann § 98 Abs. 1 Z 6 EStG 1988 greifen?"
TAX-INTL-066,"Ein in Luxemburg ansässiger Anleger erzielt österreichische Kapitalerträge, bei denen Kapitalertragsteuer einzubehalten war. Können diese Einkünfte in Österreich beschränkt steuerpflichtig sein?"
TAX-INTL-067,Wann liegen für § 98 Abs. 1 Z 5 lit. b EStG 1988 inländische Zinsen vor?
TAX-INTL-068,"Unterliegen Kapitalerträge eines beschränkt Steuerpflichtigen auch dann der beschränkten Steuerpflicht, wenn für sie eine KESt-Befreiung nach § 94 EStG 1988 besteht?"
TAX-INTL-069,"Ein im Ausland lebender Pensionist bezieht eine österreichische Sozialversicherungspension, die auf einer früher im Inland ausgeübten oder verwerteten Tätigkeit beruht. Kann dafür beschränkte Steuerpflicht bestehen?"
TAX-INTL-070,Kann ein in Portugal ansässiger Künstler mit Einkünften aus unselbständiger Arbeit in Österreich beschränkt steuerpflichtig sein?
TAX-INTL-071,Wann ist ein Arbeitnehmer nach dem EStG beschränkt lohnsteuerpflichtig?
TAX-INTL-072,"Kann bei beschränkt lohnsteuerpflichtigen Arbeitnehmern die Lohnsteuer grundsätzlich nach dem normalen Tarif berechnet werden, allerdings mit Kürzung bestimmter Absetzbeträge?"
TAX-INTL-073,Ein beschränkt steuerpflichtiger Vortragender bezieht Arbeitnehmerbezüge aus einer Tätigkeit im Sinne des § 99 Abs. 1 Z 1 EStG 1988. Kann dafür im Lohnsteuerabzug ein 20%-Satz zur Anwendung kommen?
TAX-INTL-074,"Dürfen Betriebsausgaben oder Werbungskosten bei der Veranlagung beschränkt Steuerpflichtiger berücksichtigt werden, wenn sie wirtschaftlich mit den steuerpflichtigen österreichischen Einkünften zusammenhängen?"
TAX-INTL-075,Steht der Verlustabzug beschränkt Steuerpflichtigen nur für bestimmte inländische Verluste zu?
TAX-INTL-076,Ist die Progressionsermäßigung für die Verwertung von Patentrechten bei beschränkter Steuerpflicht ausgeschlossen?
TAX-INTL-077,Kann ein aus dem Ausland nach Österreich zuziehender Spitzenforscher unter bestimmten Voraussetzungen eine Zuzugsbegünstigung beantragen?
TAX-INTL-078,Kann ein nach Österreich zuziehender Wissenschaftler zusätzlich einen befristeten Zuzugsfreibetrag von 30% erhalten?
TAX-INTL-079,Setzt die Zuzugsbegünstigung nach den Richtlinien neben einem Zuzug aus dem Ausland auch die Verlagerung des Mittelpunktes der Lebensinteressen nach Österreich voraus?
TAX-INTL-080,"Kann eine Person die Zuzugsbegünstigung erhalten, wenn sie erst vor weniger als fünf Jahren aus Österreich weggezogen ist und nun zurückkehrt?"
ESTG-NEW-001,"Herr Koller betreibt seit 2022 Ethereum-Staking über einen dezentralen Staking-Pool. Im Jänner 2026 werden ihm 1,8 ETH als Staking-Rewards gutgeschrieben, die jedoch aufgrund der Pool-Mechanik erst nach einer 21-tägigen Unbonding-Periode tatsächlich verfügbar sind. Der Marktpreis bei Gutschrift beträgt EUR 3.200 pro ETH, bei tatsächlicher Verfügbarkeit 14 Tage später EUR 3.450 pro ETH. Herr Koller verkauft die 1,8 ETH sofort nach Ende der Unbonding-Periode. Wann entsteht die Steuerpflicht für die Staking-Rewards, und wie hoch sind die Einkünfte aus dem Staking bzw. aus der späteren Veräußerung?"
ESTG-NEW-002,"Frau Dietrich hält 500 Aktien der Muster AG (Anschaffungskosten EUR 40 pro Aktie). Die Hauptversammlung beschließt im Mai 2026 eine Kapitalerhöhung aus Gesellschaftsmitteln, bei der für je 5 Alte Aktien 1 neue Aktie ausgegeben wird. Frau Dietrich erhält somit 100 Gratisaktien. Ein Barausgleich findet nicht statt. Die neuen Aktien sind rechtlich gleichrangig mit den alten Aktien. Frau Dietrich verkauft im Oktober 2026 alle 600 Aktien zu EUR 38 pro Aktie. Löst die Ausgabe der Gratisaktien eine Steuerpflicht aus, und wie ist der Veräußerungsgewinn zu berechnen?"
ESTG-NEW-003,"Herr Nemec besitzt 10 BTC in seiner persönlichen Wallet. Im März 2026 findet ein Hard Fork statt, der eine neue Kryptowährung ‚BTC-X' erzeugt. Herr Nemec erhält automatisch 10 BTC-X, ohne aktiv etwas zu tun. Er beachtet die neuen Token zunächst nicht und importiert den Private Key für BTC-X erst vier Monate später in eine Wallet, um sie am selben Tag zu einem Kurs von EUR 120 pro BTC-X zu verkaufen. Zwischen dem Fork-Datum und dem Import-Datum lag der Kurs bei EUR 80 (Fork-Datum) bis EUR 120 (Import-Datum). Wann ist der steuerlich relevante Zufluss, und wie hoch sind die Anschaffungskosten der BTC-X?"
ESTG-NEW-004,"Frau Pichler nutzt eine DeFi-Plattform, um ihre 50 ETH in einen Liquidity Pool einzuzahlen. Sie erhält dafür LP-Token (‚Pool-Token'), die ihren Anteil am Pool repräsentieren. Drei Monate später zieht sie ihre Liquidität ab und erhält 48 ETH und 2.500 USDC zurück (aufgrund von Impermanent Loss). Die LP-Token werden dabei vernichtet. Frau Pichler hatte die 50 ETH ursprünglich zu je EUR 2.800 erworben. Zum Zeitpunkt der Einzahlung in den Pool lag der Kurs bei EUR 3.000, zum Zeitpunkt der Entnahme bei EUR 3.100 pro ETH und EUR 1,02 pro USDC. Liegt ein steuerpflichtiger Tausch bei der Einzahlung und/oder bei der Entnahme vor?"
ESTG-NEW-005,"Herr Winkler hält Kryptowährungen auf einer österreichischen Börse (Plattform A). Im Februar 2026 beschließt er, seine 5 BTC über eine sogenannte ‚Cross-Chain-Bridge' von der Bitcoin-Blockchain auf ein Ethereum-basiertes Wrapped-BTC-Protokoll (WBTC) zu transferieren. Die Bridge sperrt die 5 BTC und prägt 5 WBTC auf der Ethereum-Blockchain. Herr Winkler betrachtet dies als reinen technischen Transfer – vergleichbar einem Depot-Übertrag. Die WBTC werden auf seiner MetaMask-Wallet angezeigt. Drei Monate später tauscht er 5 WBTC in 80 ETH auf einer dezentralen Börse. Die ursprünglichen Anschaffungskosten seiner BTC betrugen EUR 25.000 pro BTC. Zum Zeitpunkt des Bridging lag BTC bei EUR 60.000, zum Zeitpunkt des Tauschs WBTC-ETH bei EUR 62.000 pro WBTC. Ist das Bridging von BTC zu WBTC ein steuerlich neutraler Transfer oder ein steuerpflichtiger Tausch?"
